timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
2525980304,0.24469016,-0.0047614393,0.008384895,0.08586069,0.09610677,0.0029005115,0.9916567,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526012298,-0.016442532,0.42874786,0.04379165,0.085302845,0.09216972,0.0037261085,0.9920758,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526044370,0.028260015,0.0022049784,0.03596998,0.084712885,0.089048415,0.0042444733,0.9924093,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526076302,0.10788127,0.1596813,0.01700828,0.08403789,0.084391795,0.005067018,0.9928696,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526108299,-0.13605727,0.41366634,0.07490091,0.08328047,0.08017247,0.0052938918,0.9932818,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526140385,-0.07296345,0.32587752,0.028189896,0.08252649,0.07647379,0.0063655544,0.99363,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526172320,-0.0029961057,0.106091216,0.04498209,0.08163357,0.07225185,0.006632274,0.994018,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526204300,0.14793944,0.53791875,0.066476315,0.080722325,0.06840182,0.0071381554,0.9943612,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526236371,0.054396354,-0.26765937,0.023620775,0.079824746,0.06538173,0.007452079,0.9946345,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526269188,0.09895297,0.37833574,0.07747905,0.07882298,0.062498502,0.0076612965,0.9948981,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526301228,-0.18131623,0.010644915,0.042206604,0.07801084,0.06093582,0.0075204796,0.9950601,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526333213,0.025068399,0.106360644,0.059910264,0.0769971,0.05914248,0.007770017,0.9952454,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526365128,-0.07428922,0.3789087,0.05119633,0.07601266,0.057494815,0.008321937,0.9954131,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526397112,0.111790694,-0.4231773,0.05175404,0.074981436,0.05594911,0.008013649,0.99558187,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526429200,0.0592519,0.5450728,0.088834636,0.07391281,0.053327646,0.007459121,0.9958099,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526461186,-0.083633736,-0.19774511,0.050776746,0.07288731,0.051428415,0.0066878037,0.9959909,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526493131,-0.027971221,0.5783008,0.079942055,0.07182893,0.049059752,0.0060544773,0.9961913,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526521246,0.064309604,0.6040315,0.08834522,0.070867404,0.046912838,0.0057021505,0.9963657,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526553187,-0.28598058,-0.2308519,0.040900245,0.06988205,0.04661065,0.0051626624,0.9964524,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526585231,0.16923986,0.5280025,0.07673895,0.06874681,0.0449081,0.00564455,0.9966069,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526617119,-0.041913364,-0.41689864,0.03659883,0.06781766,0.045449354,0.0056817755,0.9966458,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526649986,0.14071724,0.38086778,0.077071175,0.06671738,0.04409437,0.0062513556,0.9967776,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
2526682070,-0.254368,-0.17844617,0.037086163,0.065788284,0.044236735,0.006209562,0.9968332,-0.9990863,-0.0093708215,0.0004845878,-0.04169745,8
