timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
2483430983,-59.02942,31.869999,102036.0,1.2123564
2483441984,-59.02942,31.869999,102036.0,1.2123564
2483462571,-58.944862,31.869999,102035.0,1.2123446
2483473394,-58.944862,31.869999,102035.0,1.2123446
2483484033,-59.19324,31.869999,102038.0,1.2123803
2483505987,-58.86031,31.869999,102034.0,1.2123327
2483517960,-58.86031,31.869999,102034.0,1.2123327
2483528984,-59.10869,31.869999,102037.0,1.2123684
2483550772,-58.86031,31.869999,102034.0,1.2123327
2483560106,-58.775757,31.869999,102032.99,1.2123207
2483570995,-58.944862,31.869999,102035.0,1.2123446
2483591421,-59.10869,31.869999,102037.0,1.2123684
2483602127,-58.696487,31.869999,102032.0,1.212309
2483613297,-58.86031,31.869999,102034.0,1.2123327
2483635422,-58.61193,31.869999,102031.0,1.2122971
2483646859,-58.115177,31.869999,102025.0,1.2122258
2483656056,-58.86031,31.869999,102034.0,1.2123327
2483677043,-58.61193,31.869999,102031.0,1.2122971
2483687222,-58.775757,31.869999,102032.99,1.2123207
2483698133,-58.363552,31.869999,102028.0,1.2122614
2483719106,-58.944862,31.869999,102035.0,1.2123446
2483729027,-58.86031,31.869999,102034.0,1.2123327
2483739111,-58.53266,31.869999,102030.0,1.2122852
2483760997,-59.10869,31.869999,102037.0,1.2123684
2483772066,-58.363552,31.869999,102028.0,1.2122614
2483782986,-58.775757,31.869999,102032.99,1.2123207
2483804003,-58.86031,31.869999,102034.0,1.2123327
2483816345,-58.363552,31.869999,102028.0,1.2122614
2483826995,-58.696487,31.869999,102032.0,1.212309
2483848988,-58.775757,31.869999,102032.99,1.2123207
2483860396,-59.10869,31.869999,102037.0,1.2123684
2483870995,-58.86031,31.869999,102034.0,1.2123327
2483893006,-58.61193,31.869999,102031.0,1.2122971
2483904390,-58.53266,31.869999,102030.0,1.2122852
2483914995,-58.53266,31.869999,102030.0,1.2122852
2483936994,-58.61193,31.869999,102031.0,1.2122971
2483948395,-58.53266,31.869999,102030.0,1.2122852
2483959573,-58.86031,31.869999,102034.0,1.2123327
2483980984,-58.61193,31.869999,102031.0,1.2122971
2483993525,-58.115177,31.869999,102025.0,1.2122258
2484004083,-58.86031,31.869999,102034.0,1.2123327
2484027195,-59.19324,31.869999,102038.0,1.2123803
2484038314,-58.44811,31.869999,102029.0,1.2122734
2484048983,-58.61193,31.869999,102031.0,1.2122971
2484071691,-58.61193,31.869999,102031.0,1.2122971
2484082336,-58.775757,31.869999,102032.99,1.2123207
2484092993,-57.95135,31.869999,102023.0,1.212202
2484116029,-58.53266,31.869999,102030.0,1.2122852
2484129036,-57.95135,31.869999,102023.0,1.212202
2484140024,-57.8668,31.869999,102022.0,1.2121902
2484161994,-58.44811,31.869999,102029.0,1.2122734
2484173297,-58.44811,31.869999,102029.0,1.2122734
2484184024,-58.61193,31.869999,102031.0,1.2122971
2484206030,-58.115177,31.859999,102025.0,1.2122258
2484217305,-58.53266,31.859999,102030.0,1.2122852
2484228024,-57.8668,31.859999,102022.0,1.2121902
2484250983,-58.53266,31.869999,102030.0,1.2122852
2484262589,-58.19973,31.869999,102025.99,1.2122376
2484273029,-58.035908,31.869999,102024.0,1.2122139
2484294038,-57.95135,31.869999,102023.0,1.212202
2484305335,-57.61842,31.869999,102019.0,1.2121545
2484316494,-58.035908,31.869999,102024.0,1.2122139
2484337994,-58.53266,31.869999,102030.0,1.2122852
2484349987,-58.035908,31.869999,102024.0,1.2122139
2484361037,-58.115177,31.869999,102025.0,1.2122258
2484384983,-58.19973,31.859999,102025.99,1.2122376
2484396388,-57.95135,31.859999,102023.0,1.212202
2484405983,-57.702972,31.859999,102019.99,1.2121663
2484428467,-57.8668,31.859999,102022.0,1.2121902
2484439700,-57.95135,31.859999,102023.0,1.212202
2484449984,-58.284283,31.859999,102026.99,1.2122494
2484472090,-57.78753,31.869999,102021.0,1.2121782
2484485629,-58.035908,31.869999,102024.0,1.2122139
2484496051,-57.702972,31.869999,102019.99,1.2121663
2484519101,-57.78753,31.859999,102021.0,1.2121782
