timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,type,system_id,component_id,mode,flow_control,forwarding,mavlink_v2,ftp,streams
2557078117,2556071227,1200.0,0.519658,0.041707087,1.2224149,0.0,1,255,0,0,1,1,1,1,35
2558084455,2557078117,1200.0,0.519658,0.041737884,1.6337401,0.0,1,255,0,0,1,1,1,1,35
2559084736,2558084455,1200.0,0.519658,0.041737884,1.6337401,0.0,1,255,0,0,1,1,1,1,35
2560089081,2559084736,1200.0,0.519658,0.041596636,1.540066,0.0,1,255,0,0,1,1,1,1,35
2561095745,2560089081,1200.0,0.519658,0.041784763,1.3719331,0.0,1,255,0,0,1,1,1,1,35
2562099226,2561095745,1200.0,0.519658,0.041753486,1.2734812,0.0,1,255,0,0,1,1,1,1,35
2563107318,2562099226,1200.0,0.519658,0.041832544,1.4153343,0.0,1,255,0,0,1,1,1,1,35
2564115220,2563107318,1200.0,0.519658,0.04164196,1.5804116,0.0,1,255,0,0,1,1,1,1,35
2565120892,2564115220,1200.0,0.519658,0.0675011,1.5038847,0.0,1,255,0,0,1,1,1,1,35
2566129120,2565120892,1200.0,0.519658,0.041792996,1.2318983,0.0,1,255,0,0,1,1,1,1,35
2567137151,2566129120,1200.0,0.519658,0.04162537,1.6412288,0.0,1,255,0,0,1,1,1,1,35
