timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
2490362033,1544809270200355,323878869,-1170762609,25368,-9075,0.28100002,0.025493324,0.8880001,1.366,0.55,0.79999995,93,2,9.722,8.288,5.0820003,-1.485,0.5500098,0,nan,0.0,4,1,21
2490562211,1544809270400355,323879012,-1170762493,25573,-8870,0.317,0.021458123,0.8880001,1.3590001,0.53,0.77,93,2,9.858001,8.085,5.6390004,-1.5320001,0.60900676,0,nan,0.0,4,1,22
2490761715,1544809270600355,323879154,-1170762371,25914,-8529,0.321,0.025905745,0.88900006,1.36,0.53,0.77,93,2,9.567,7.6580005,5.734,-1.7350001,0.64268184,0,nan,0.0,4,1,22
2490965022,1544809270800355,323879284,-1170762247,26215,-8228,0.337,0.027387006,0.89000005,1.36,0.53,0.77,93,2,9.1970005,7.0210004,5.94,-1.7760001,0.7022126,0,nan,0.0,4,1,22
2491167102,1544809271000355,323879407,-1170762119,26563,-7880,0.31800002,0.030923044,0.89300007,1.3610001,0.53,0.77,93,2,9.062,6.6800003,6.123,-1.8180001,0.7419227,0,nan,0.0,4,1,22
2491365089,1544809271200355,323879522,-1170761991,27055,-7389,0.31,0.033318333,0.89400005,1.358,0.53,0.77,93,2,8.742001,6.334,6.025,-1.9060001,0.7604673,0,nan,0.0,4,1,22
2491559246,1544809271400355,323879635,-1170761863,27365,-7078,0.31300002,0.035544153,0.896,1.3610001,0.55,0.77,93,2,8.833,6.2900004,6.201,-1.7930001,0.77832866,0,nan,0.0,4,1,21
2491761054,1544809271600355,323879744,-1170761733,27814,-6629,0.286,0.031789947,0.897,1.363,0.53,0.77,93,2,8.280001,5.6710005,6.0330005,-2.078,0.8163681,0,nan,0.0,4,1,22
2491958018,1544809271800355,323879843,-1170761609,28231,-6212,0.293,0.029414207,0.896,1.363,0.53,0.77,93,2,7.8100004,5.3170004,5.721,-2.0730002,0.8220143,0,nan,0.0,4,1,22
2492173128,1544809272000355,323879937,-1170761494,28628,-5815,0.303,0.032414254,0.89500004,1.365,0.53,0.77,93,2,7.392,5.1280003,5.3230004,-2.112,0.8121175,0,nan,0.0,4,1,22
2492356576,1544809272200355,323880027,-1170761387,29092,-5351,0.27400002,0.036883693,0.89400005,1.3620001,0.53,0.77,93,2,6.9220004,4.9350004,4.854,-2.1680002,0.7940717,0,nan,0.0,4,1,22
2492558699,1544809272400354,323880114,-1170761287,29572,-4871,0.312,0.040012717,0.89500004,1.366,0.53,0.77,93,2,6.6150002,4.7660003,4.5870004,-2.3460002,0.7795206,0,nan,0.0,4,1,22
2492755267,1544809272600354,323880197,-1170761193,30187,-4256,0.266,0.042463858,0.89300007,1.358,0.53,0.77,93,2,6.4800005,4.7440004,4.414,-2.4160001,0.7637468,0,nan,0.0,4,1,22
