timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
2532590872,-0.2491794,-0.060661238,0.43876877
2532612056,-0.2576754,-0.06310976,0.43657693
2532634130,-0.2520114,-0.06433402,0.4343851
2532656056,-0.2562594,-0.0618855,0.43219322
2532679089,-0.2562594,-0.0618855,0.43657693
2532700984,-0.2548434,-0.06310976,0.435481
2532725030,-0.25342742,-0.060661238,0.435481
2532749038,-0.2548434,-0.0618855,0.4310973
2532773015,-0.2562594,-0.06310976,0.43219322
2532796034,-0.2562594,-0.06433402,0.4310973
2532818150,-0.2520114,-0.06433402,0.43657693
2532840024,-0.2576754,-0.0618855,0.4343851
2532861038,-0.2520114,-0.060661238,0.43328917
2532882995,-0.2562594,-0.056988448,0.4343851
2532906175,-0.2520114,-0.0618855,0.43000138
2532928036,-0.25342742,-0.06433402,0.435481
2532949995,-0.25342742,-0.0618855,0.43219322
2532972087,-0.2520114,-0.06678254,0.435481
2532993984,-0.2520114,-0.0618855,0.44096062
2533016035,-0.25342742,-0.05821271,0.43657693
2533037986,-0.2491794,-0.0618855,0.43767285
2533060024,-0.24776338,-0.06310976,0.435481
2533082081,-0.2562594,-0.06310976,0.4343851
2533103634,-0.24776338,-0.060661238,0.43657693
2533125993,-0.2520114,-0.059436977,0.43657693
2533150029,-0.25342742,-0.0618855,0.435481
2533172024,-0.2520114,-0.06310976,0.43767285
2533193992,-0.25342742,-0.0618855,0.435481
2533216024,-0.2548434,-0.065558285,0.43657693
2533237994,-0.24776338,-0.06678254,0.4343851
2533260028,-0.2520114,-0.0618855,0.43219322
2533280984,-0.2548434,-0.059436977,0.435481
2533303106,-0.25342742,-0.05821271,0.435481
2533324987,-0.25342742,-0.060661238,0.4343851
2533348447,-0.2562594,-0.05821271,0.4343851
2533370027,-0.2576754,-0.059436977,0.43657693
2533394015,-0.2548434,-0.0618855,0.435481
2533416069,-0.2576754,-0.06310976,0.43657693
2533438058,-0.25909144,-0.06310976,0.43328917
2533461163,-0.25342742,-0.06310976,0.435481
2533484983,-0.2548434,-0.06310976,0.43328917
2533507107,-0.2548434,-0.060661238,0.43876877
2533528984,-0.25342742,-0.059436977,0.435481
2533550983,-0.2548434,-0.055764187,0.4343851
2533572984,-0.2491794,-0.06310976,0.435481
2533596569,-0.2520114,-0.06310976,0.43328917
2533618027,-0.2505954,-0.060661238,0.4343851
2533644564,-0.2505954,-0.060661238,0.43657693
2533665029,-0.24776338,-0.060661238,0.43876877
2533686983,-0.24634737,-0.0618855,0.43657693
2533709211,-0.24776338,-0.06433402,0.43328917
2533730985,-0.24493137,-0.059436977,0.43876877
2533753037,-0.2505954,-0.06310976,0.4398647
2533774992,-0.24351536,-0.06433402,0.43876877
2533797375,-0.24351536,-0.06433402,0.4398647
2533821392,-0.24351536,-0.06310976,0.44205654
2533845993,-0.24351536,-0.06433402,0.44315246
2533869505,-0.24493137,-0.065558285,0.44315246
2533891155,-0.24209936,-0.0618855,0.44096062
2533915104,-0.24351536,-0.065558285,0.4398647
2533938983,-0.23926733,-0.06433402,0.4398647
2533960994,-0.23926733,-0.065558285,0.44096062
2533982986,-0.23785132,-0.065558285,0.4398647
2534005367,-0.23643531,-0.06310976,0.4398647
2534029512,-0.24068333,-0.059436977,0.43876877
2534050984,-0.23926733,-0.06310976,0.43876877
2534072983,-0.23926733,-0.060661238,0.43657693
2534094986,-0.24209936,-0.060661238,0.4398647
2534117294,-0.23926733,-0.06310976,0.44315246
2534140038,-0.24068333,-0.060661238,0.44096062
2534162090,-0.24351536,-0.06433402,0.43767285
2534183984,-0.24351536,-0.0618855,0.44096062
2534208110,-0.23785132,-0.06433402,0.4398647
2534230993,-0.24351536,-0.06678254,0.4398647
2534253361,-0.24209936,-0.06433402,0.43657693
2534276029,-0.24068333,-0.0618855,0.44205654
2534298995,-0.23785132,-0.059436977,0.43876877
2534320040,-0.24068333,-0.059436977,0.43767285
2534343995,-0.24209936,-0.065558285,0.43767285
2534368031,-0.24493137,-0.059436977,0.43767285
2534391985,-0.24493137,-0.060661238,0.435481
2534415226,-0.24493137,-0.060661238,0.4398647
2534436037,-0.24068333,-0.059436977,0.43876877
2534458986,-0.24634737,-0.06433402,0.44205654
2534482304,-0.24776338,-0.059436977,0.4398647
2534504984,-0.24776338,-0.05821271,0.43876877
2534529036,-0.24493137,-0.059436977,0.43767285
2534553068,-0.24068333,-0.0618855,0.44096062
2534576984,-0.24634737,-0.056988448,0.43876877
2534601043,-0.2505954,-0.05821271,0.43876877
2534624984,-0.2520114,-0.05821271,0.435481
2534651503,-0.24776338,-0.05821271,0.43328917
2534672984,-0.2505954,-0.056988448,0.435481
2534697018,-0.2491794,-0.055764187,0.43657693
2534721039,-0.2505954,-0.05331566,0.43876877
2534744984,-0.2505954,-0.056988448,0.43657693
2534768083,-0.23926733,-0.059436977,0.43767285
2534790145,-0.24634737,-0.055764187,0.44096062
2534812031,-0.24351536,-0.05821271,0.4398647
2534833037,-0.24351536,-0.055764187,0.4398647
2534856071,-0.24634737,-0.056988448,0.43657693
2534877010,-0.24209936,-0.05821271,0.43657693
