timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure,failure_detector_status
2547693109,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2548696181,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2549697172,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2550708313,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2551716610,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2552725148,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2553731147,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2554738088,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2555746549,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2556755239,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2557762714,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2558768166,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2559774582,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2560784094,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2561791254,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2562796895,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2563806559,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2564808206,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2565607305,3080239,2162703,3014703,5,2,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
2566589117,3080239,2162703,3014703,5,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0
