timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
2486080549,nan,nan,nan,0.13094795,0.0,7.6052246,3.2812898,-0.82032454,nan,nan,nan,nan,nan,nan,nan,nan,nan
2486281753,nan,nan,nan,0.13094795,0.0,8.059716,3.4968774,-0.82037616,nan,nan,nan,nan,nan,nan,nan,nan,nan
2486480317,nan,nan,nan,0.13094795,0.0,8.508558,3.7088919,-0.82038975,nan,nan,nan,nan,nan,nan,nan,nan,nan
2486681192,nan,nan,nan,0.13094795,-0.0,8.956262,3.9353154,-0.82037616,nan,nan,nan,nan,nan,nan,nan,nan,nan
2486881091,nan,nan,nan,0.13094795,0.0,9.140595,4.055803,-0.82037616,nan,nan,nan,nan,nan,nan,nan,nan,nan
2487085899,nan,nan,nan,0.13094795,-0.0,9.126239,4.0880036,-0.82037616,nan,nan,nan,nan,nan,nan,nan,nan,nan
2487294970,nan,nan,nan,0.13094795,-0.0,9.095247,4.1564965,-1.7722719,nan,nan,nan,nan,nan,nan,nan,nan,nan
2487490682,nan,nan,nan,0.13094795,0.0,9.141162,4.054523,-1.8001387,nan,nan,nan,nan,nan,nan,nan,nan,nan
2487700029,nan,nan,nan,0.13094795,-0.0,9.128961,4.0819197,-1.8001485,nan,nan,nan,nan,nan,nan,nan,nan,nan
2487899501,nan,nan,nan,0.13094795,-0.0,9.141235,4.0543594,-1.8001953,nan,nan,nan,nan,nan,nan,nan,nan,nan
2488099409,nan,nan,nan,0.13094795,0.0,9.146051,4.0434833,-1.8001485,nan,nan,nan,nan,nan,nan,nan,nan,nan
2488308383,nan,nan,nan,0.13094795,0.0,9.126029,4.088471,-1.8036171,nan,nan,nan,nan,nan,nan,nan,nan,nan
2488508261,nan,nan,nan,0.13094795,-0.0,9.115072,4.1128407,-1.8005357,nan,nan,nan,nan,nan,nan,nan,nan,nan
2488709055,nan,nan,nan,0.13094795,0.0,9.124472,4.0919466,-1.8001417,nan,nan,nan,nan,nan,nan,nan,nan,nan
2488917224,nan,nan,nan,0.13094795,-0.0,9.131416,4.0764213,-1.8016086,nan,nan,nan,nan,nan,nan,nan,nan,nan
2489119339,nan,nan,nan,0.13094795,-0.0,9.215183,3.8833494,-1.800139,nan,nan,nan,nan,nan,nan,nan,nan,nan
2489317865,nan,nan,nan,0.13094795,0.0,9.203023,3.912079,-1.7917247,nan,nan,nan,nan,nan,nan,nan,nan,nan
