timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
2481897590,32767,32767,32767,32767,32767,32767,32767
2481901590,32767,32767,32767,32767,32767,32767,32767
2481905596,32767,32767,32767,32767,32767,32767,32767
2481909592,32767,32767,32767,32767,-55,32767,32767
2481913561,32767,32767,32767,32767,32767,-55,32767
2481917590,32767,32767,32767,32767,32767,32767,32767
2481921590,32767,32767,32767,32767,-66,32767,32767
2481925590,32767,32767,32767,32767,32767,32767,32767
2481929589,32767,32767,32767,32767,32767,32767,32767
2481933590,32767,32767,32767,32767,-67,32767,32767
2481937589,32767,32767,32767,32767,32767,-85,32767
2481941561,32767,32767,32767,32767,32767,32767,32767
2481945590,32767,32767,32767,32767,32767,32767,32767
2481949590,32767,32767,32767,32767,32767,32767,32767
2481953590,32767,32767,32767,32767,-55,32767,32767
2481958390,32767,32767,32767,32767,32767,-74,32767
2481962390,32767,32767,-26,32767,32767,32767,32767
2481966397,32767,32767,32767,32767,-68,32767,32767
2481970388,32767,32767,32767,32767,32767,32767,32767
2481974389,32767,32767,32767,32767,-43,32767,32767
2481978390,32767,32767,32767,32767,32767,-63,32767
2481982390,32767,32767,32767,32767,32767,32767,32767
2481986395,32767,32767,32767,32767,32767,32767,32767
2481990390,32767,32767,32767,32767,32767,32767,32767
2481994390,32767,32767,32767,32767,32767,32767,32767
2481998390,32767,32767,32767,32767,-63,32767,32767
2482002390,32767,32767,32767,32767,32767,-84,32767
2482006390,32767,32767,32767,32767,32767,32767,32767
2482010390,32767,32767,32767,32767,-74,32767,32767
2482014390,32767,32767,32767,32767,32767,32767,32767
2482018390,32767,32767,32767,32767,-53,32767,32767
2482022390,32767,32767,32767,32767,32767,-60,32767
2482026384,32767,32767,32767,32767,32767,32767,32767
2482030397,32767,32767,32767,32767,32767,32767,32767
2482034390,32767,32767,32767,32767,32767,32767,32767
2482038413,32767,32767,32767,32767,32767,32767,32767
2482042390,32767,32767,32767,32767,-74,32767,32767
2482046389,32767,32767,32767,32767,32767,-84,32767
2482050390,32767,32767,32767,32767,-43,32767,32767
2482054390,32767,32767,32767,32767,32767,32767,32767
2482058395,32767,32767,32767,32767,32767,32767,32767
2482062390,32767,32767,32767,32767,-54,32767,32767
2482066390,32767,32767,32767,32767,32767,-63,32767
2482070390,32767,32767,32767,32767,32767,32767,32767
2482074389,32767,32767,32767,32767,32767,32767,32767
2482078390,32767,32767,32767,32767,32767,32767,32767
2482082389,32767,32767,32767,32767,32767,32767,32767
2482086390,32767,32767,32767,32767,-66,32767,32767
2482090389,32767,32767,32767,32767,32767,-84,32767
2482094390,32767,32767,32767,32767,-43,32767,32767
2482098390,32767,32767,32767,32767,32767,32767,32767
2482102390,32767,32767,32767,32767,32767,32767,32767
2482106390,32767,32767,32767,32767,-53,32767,32767
2482110390,32767,32767,32767,32767,32767,-54,32767
2482114390,32767,32767,32767,32767,32767,32767,32767
2482118390,32767,32767,32767,32767,32767,32767,32767
2482122389,32767,32767,32767,32767,32767,32767,32767
2482126390,32767,32767,32767,32767,-44,32767,32767
2482130390,32767,32767,32767,32767,32767,32767,32767
2482134390,32767,32767,32767,32767,32767,-63,32767
2482138390,32767,32767,32767,32767,-63,32767,32767
2482142393,32767,32767,32767,32767,32767,32767,32767
2482146390,32767,32767,32767,32767,-40,32767,32767
2482150392,32767,32767,32767,32767,32767,32767,32767
2482154390,32767,32767,32767,32767,32767,32767,32767
2482158390,32767,32767,32767,32767,32767,-84,32767
2482162389,32767,32767,32767,32767,32767,32767,32767
2482166390,32767,32767,32767,32767,32767,32767,32767
2482170390,32767,32767,32767,32767,-60,32767,32767
2482174390,32767,32767,32767,32767,32767,32767,32767
2482178390,32767,32767,32767,32767,32767,-63,32767
2482182390,32767,32767,32767,32767,-68,32767,32767
2482186390,32767,32767,-53,32767,32767,32767,32767
2482190390,32767,32767,32767,32767,-40,32767,32767
2482194389,32767,32767,32767,32767,32767,32767,32767
2482198390,32767,32767,32767,32767,32767,32767,32767
2482202390,32767,32767,32767,32767,32767,-83,32767
2482206389,32767,32767,32767,32767,32767,32767,32767
2482210390,32767,32767,32767,32767,32767,32767,32767
2482214390,32767,32767,32767,32767,-60,32767,32767
2482218389,32767,32767,32767,32767,32767,32767,32767
2482222396,32767,32767,32767,32767,-43,-63,32767
2482226390,32767,32767,32767,32767,32767,32767,32767
2482230368,32767,32767,32767,32767,32767,32767,32767
