timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
2480963968,0.006192414,-0.06908675,-0.012745531,3979,0,-0.500271,1.0036914,-8.3277445,3979
2480967989,-0.023903657,0.08451502,-0.020101987,4021,0,-0.79465103,0.4002092,-10.532189,4021
2480972008,0.02455383,0.061198626,-0.008939033,4019,0,0.60353845,1.5497792,-11.375645,4019
2480975990,0.020662883,-0.013917266,-0.010067769,3982,0,-0.73563474,1.3462664,-10.205527,3982
2480979990,0.025451029,-0.027727483,-0.0047146818,4000,0,0.37892818,-0.16176443,-9.084703,4000
2480983990,-0.04992319,-0.058405552,-0.007425298,4000,0,0.8965209,1.4404365,-8.082697,4000
2480987990,0.003986668,0.010516584,-0.015231009,4000,0,-1.5803185,0.25889608,-10.227721,4000
2480991990,-0.0034076741,0.111083314,-0.0019307551,4000,0,-0.0481096,1.1552101,-10.930076,4000
2480995990,-0.013689666,0.04441021,-0.0016391706,4000,0,0.35729584,1.5152965,-11.092631,4000
2481000002,0.038044594,-0.033641372,0.008350622,4012,0,-0.93789476,-0.21992016,-9.125235,4012
2481003999,-0.07353024,-0.045804642,0.00594865,3997,0,0.5735397,1.2191471,-7.849833,3997
2481007990,0.0028070798,0.0053666527,-0.0032731125,3991,0,-0.6349182,0.76609087,-8.582321,3991
2481011992,-0.052792266,0.08256851,0.01238509,4002,0,-0.80646986,0.45914534,-10.880542,4002
2481015990,0.009169171,0.06679527,0.016457075,3998,0,-0.23369777,2.0375998,-11.927123,3998
2481019990,0.04959574,-0.0076059047,0.01327841,4000,0,-0.050472844,0.4476231,-9.562999,4000
2481023990,-0.060738757,-0.07774143,0.018434672,4000,0,-0.08481939,-0.08756145,-8.968533,4000
2481028004,-0.00168263,-0.016125882,0.017451208,4014,0,-0.29676977,1.5404686,-8.262686,4014
2481031990,-0.0072981534,0.031210648,0.008069122,3986,0,-0.37913772,-0.41415212,-10.070407,3986
2481035990,0.0029854767,0.047518652,0.01953956,4000,0,-0.8666981,1.8672847,-11.978618,4000
2481039990,0.058826514,0.04304698,0.013221877,4000,0,0.14917438,0.20871201,-10.663901,4000
2481043990,0.009728276,-0.10612392,0.013323992,4000,0,0.50108796,0.41732255,-8.630202,4000
2481047989,-0.0122583555,-0.09973317,0.0025506818,3999,0,-0.48086107,0.8767634,-8.001944,3999
2481051990,0.010906696,0.044513926,-0.009167918,4001,0,-0.81118166,-0.2766435,-9.670289,4001
2481056008,0.015884688,0.03556131,0.0006544283,4018,0,0.49389654,2.086678,-10.981313,4018
2481059990,0.07282084,-0.0055114753,-0.018427787,3982,0,-1.17752,0.5037952,-10.500669,3982
2481063990,0.04530064,-0.028175542,-0.005938931,4000,0,0.04409907,0.29094756,-9.321767,4000
2481067990,-0.025731096,-0.112787195,-0.014473372,4000,0,1.1965786,0.9168399,-8.470254,4000
2481071990,0.045611408,-0.055143572,-0.037494127,4000,0,-1.7517197,-0.16607265,-9.032989,4000
2481075989,-0.028391004,0.10744845,-0.0182564,3999,0,0.21546625,1.3326604,-10.808626,3999
2481079989,0.038928486,0.019239306,-0.024121223,4000,0,-0.27107635,1.3777771,-11.092645,4000
2481084001,0.039667733,-0.021730578,-0.020228634,4012,0,-0.6015279,1.0386437,-9.457199,4012
2481087990,0.005841188,-0.04980963,-0.020233966,3989,0,1.1708378,-0.81356657,-8.666465,3989
2481091989,-0.037253696,-0.03939418,-0.029810729,3999,0,-0.97940606,1.3114995,-9.124936,3999
2481095990,0.0032467637,0.101488195,-0.014561401,4001,0,-0.60348094,0.3987184,-10.157123,4001
2481099990,-0.023953125,0.06505529,-0.005313068,4000,0,0.03127466,1.4855461,-10.986186,4000
2481103989,-0.01691824,0.022799555,0.005675948,3999,0,-0.74236894,1.8980162,-9.497691,3999
2481107989,0.027836695,-0.006155967,0.0110600535,4000,0,0.5050591,-0.78894204,-9.191137,4000
2481112003,-0.07858823,-0.06875944,0.008407798,4014,0,0.09973928,1.2104331,-8.104324,4014
2481115989,-0.0024351017,0.04464106,0.015262022,3986,0,-1.2570722,0.48072404,-9.653493,3986
2481119990,0.011449499,0.09728191,0.032916684,4001,0,0.78278476,1.3307897,-11.609864,4001
2481123989,-0.013847965,-0.0057750484,0.02527594,3999,0,-1.1922331,1.761738,-11.4860325,3999
2481127990,0.040355213,-0.01304855,0.038155135,4001,0,-0.12687375,0.46537662,-9.8563,4001
2481131990,-0.047155805,-0.07524898,0.03467643,4000,0,0.9651851,0.64253086,-8.29083,4000
2481135990,0.020464683,-0.032010715,0.014317899,4000,0,-1.3647768,0.31681386,-9.18692,4000
2481140002,-0.0030694806,0.083587915,0.031374704,4012,0,0.30639532,1.1919149,-9.938769,4012
2481143990,0.053290546,0.010922292,0.017671715,3988,0,-0.53761524,1.48181,-11.792809,3988
2481147990,0.044648126,-0.04066385,0.019534778,4000,0,0.2051865,0.5686779,-9.653109,4000
2481151990,-0.016031416,-0.09438743,0.015302807,4000,0,0.17915107,-0.10865042,-8.730821,4000
2481155990,0.042224757,-0.034710057,-0.0171288,4000,0,-0.31961986,0.5166731,-8.403618,4000
2481159989,-0.035195243,0.048266996,-0.0036499542,3999,0,-0.3055425,1.0026528,-10.133372,3999
2481163990,0.05367191,0.049584854,-0.012263098,4001,0,-0.75520855,1.4260937,-10.810354,4001
2481168000,0.013116639,0.013945994,-0.017904146,4010,0,0.55123836,1.1789553,-9.418346,4010
2481171990,-0.019164683,-0.095858105,-0.020946585,3990,0,0.06458086,-0.6002151,-9.1279955,3990
2481176768,-0.030985694,0.05845084,-0.04572318,4778,0,-0.88004327,1.1204504,-9.55875,4778
2481180768,-0.025561385,0.082479715,-0.030226802,4000,0,1.3713893,0.0880466,-9.73666,4000
2481184769,-0.049212165,0.0003724664,-0.03334098,4001,0,-2.4468925,1.9599798,-10.633642,4001
2481188768,0.020013977,0.12873328,-0.03138508,3999,0,1.054604,1.3461235,-8.971364,3999
2481192769,-0.030755969,-0.0966608,-0.029749148,4001,0,0.7731663,-0.71237737,-9.182727,4001
2481196768,-0.025868585,0.0073560853,-0.03191846,3999,0,-1.7482063,0.95560604,-9.817327,3999
2481200768,-0.024742652,0.0782649,-0.023272928,4000,0,1.5346305,0.30417773,-9.087472,4000
2481204768,-0.0010488473,0.007252958,-0.008879317,4000,0,-1.8718404,1.4731117,-11.467946,4000
2481208768,-0.0126574375,0.0974182,-0.0014541888,4000,0,-0.3373195,0.8885291,-11.089507,4000
2481212767,0.024920115,-0.0765841,0.0078033474,3999,0,1.5204388,0.51771224,-9.325885,3999
2481216768,-0.043969218,-0.07164703,0.008434384,4001,0,-2.6177475,0.40444586,-9.161175,4001
2481220769,-0.008712469,0.08704644,0.013244693,4001,0,1.3504936,0.27505493,-8.65367,4001
2481224768,0.018793024,0.002571978,0.022214098,3999,0,-0.09960175,1.1971697,-10.47331,3999
2481228768,-0.0009736783,0.04946047,0.02675676,4000,0,-1.9161458,0.28032753,-11.357323,4000
2481232768,0.0149632385,0.010977908,0.03318448,4000,0,2.0699482,2.1563077,-9.127933,4000
2481236768,0.016538052,-0.13198633,0.0333355,4000,0,-1.1176792,-0.6125728,-8.010075,4000
2481240769,-0.03593467,0.022582492,0.023084685,4001,0,-1.3396332,-0.5581461,-9.436867,4001
2481244768,-0.00022809663,0.089020066,0.025038155,3999,0,1.5237752,2.9465446,-9.236067,3999
2481248769,0.0708929,-0.030408528,0.023454165,4001,0,-1.9407641,-0.6253079,-11.995058,4001
2481252768,-0.08779179,0.06949178,0.02341598,3999,0,0.29198393,2.8083699,-10.075756,3999
2481256768,0.083173625,-0.06723634,0.024596458,4000,0,1.4312454,-0.9521921,-8.909359,4000
2481260768,-0.052647054,-0.0657682,-0.0031676476,4000,0,-2.2355921,-0.21436527,-8.812182,4000
2481264768,-0.07077492,0.13343483,-0.0012494304,4000,0,0.38894668,2.475067,-9.73372,4000
2481268767,0.049213734,0.055791624,-0.0010716011,3999,0,0.02705569,-0.03440463,-11.102626,3999
2481272768,-0.10589647,0.057008475,-0.012068211,4001,0,-1.2419181,2.3725433,-10.467221,4001
2481276768,0.0511111,0.00048226627,-0.0034695978,4000,0,1.2946857,-0.14332122,-9.049452,4000
2481280768,-0.067427814,-0.059146956,-0.0144591015,4000,0,-1.1714082,0.32023004,-7.5371957,4000
2481284768,-0.0870115,0.06799843,-0.027587643,4000,0,-1.0172449,0.9150748,-9.937253,4000
2481288768,0.011128458,0.11269958,-0.020867705,4000,0,0.70848244,2.0840201,-10.483005,4000
2481292768,-0.018860476,0.059830666,-0.023724802,4000,0,-0.77787596,-0.0050660204,-11.189865,4000
2481296768,-0.03859729,-0.013329773,-0.01505597,4000,0,0.36998734,1.2202201,-9.616137,4000
2481300768,-0.029869957,-0.041276835,-0.008230485,4000,0,-0.5963016,-0.26061606,-8.832908,4000
2481304768,-0.05490626,0.024648415,-0.015539252,4000,0,-0.8311705,-0.2039386,-8.8805065,4000
