rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,vtol_state,landed_state
1545224265757247641,,5419,,1545224265,748745627,'',0,1
1545224265960314157,,5420,,1545224265,949393063,'',0,1
1545224266158321082,,5421,,1545224266,149599044,'',0,1
1545224266360540448,,5422,,1545224266,348695029,'',0,1
1545224266582487735,,5423,,1545224266,550092931,'',0,1
1545224266772237666,,5424,,1545224266,749480217,'',0,1
1545224266957038653,,5425,,1545224266,950114842,'',0,1
1545224267161437829,,5426,,1545224267,151395556,'',0,1
1545224267359325224,,5427,,1545224267,347947128,'',0,1
1545224267566775446,,5428,,1545224267,550692211,'',0,1
1545224267765020941,,5429,,1545224267,748337371,'',0,1
1545224267958961610,,5430,,1545224267,949452410,'',0,1
1545224268220664982,,5431,,1545224268,149806151,'',0,1
1545224268370113415,,5432,,1545224268,348834482,'',0,1
1545224268558300485,,5433,,1545224268,548926505,'',0,1
1545224268838073584,,5434,,1545224268,749429308,'',0,1
1545224269051014310,,5435,,1545224268,948638888,'',0,1
1545224269389376762,,5436,,1545224269,150930016,'',0,1
1545224270071334643,,5437,,1545224269,350845999,'',0,1
1545224270338042740,,5438,,1545224269,548772669,'',0,1
1545224270625013155,,5439,,1545224269,749727918,'',0,1
1545224270625052614,,5440,,1545224269,949985931,'',0,1
1545224270625067882,,5441,,1545224270,149786029,'',0,1
1545224270670763927,,5442,,1545224270,348113531,'',0,1
1545224270670777468,,5443,,1545224270,549579351,'',0,1
1545224270881777922,,5444,,1545224270,752476674,'',0,1
1545224271000711824,,5445,,1545224270,947511536,'',0,2
1545224271163380909,,5446,,1545224271,148395171,'',0,2
1545224271356452231,,5447,,1545224271,349749325,'',0,2
1545224271580935572,,5448,,1545224271,549344113,'',0,2
1545224271786203391,,5449,,1545224271,749658533,'',0,2
1545224271963145417,,5450,,1545224271,950792323,'',0,2
1545224272178222634,,5451,,1545224272,148178008,'',0,2
1545224272444688461,,5452,,1545224272,350372054,'',0,2
1545224272586484116,,5453,,1545224272,548443621,'',0,2
1545224272767214521,,5454,,1545224272,750653917,'',0,2
1545224272964820042,,5455,,1545224272,950906931,'',0,2
1545224273177803549,,5456,,1545224273,151377861,'',0,2
1545224273352846702,,5457,,1545224273,349463386,'',0,2
1545224273558724349,,5458,,1545224273,550181138,'',0,2
1545224273766932440,,5459,,1545224273,750327018,'',0,2
1545224273954527746,,5460,,1545224273,950411231,'',0,2
1545224274161084960,,5461,,1545224274,153056734,'',0,2
1545224274426584160,,5462,,1545224274,351456165,'',0,2
1545224274569007118,,5463,,1545224274,545942594,'',0,2
1545224274755182515,,5464,,1545224274,747484352,'',0,2
1545224274956617050,,5465,,1545224274,948709654,'',0,2
1545224275253222006,,5466,,1545224275,148972044,'',0,2
1545224275843320270,,5467,,1545224275,348230534,'',0,2
1545224275953351169,,5468,,1545224275,549380732,'',0,2
1545224276622572742,,5469,,1545224275,747039490,'',0,2
1545224276622593217,,5470,,1545224275,946859903,'',0,2
