rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,rssi,channels
1545224267677905583,,17141,,1545224267,642092416,'',255,"[1517, 1515, 1093, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224267712382371,,17142,,1545224267,686092416,'',255,"[1517, 1515, 1117, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224267772220334,,17143,,1545224267,730091392,'',255,"[1517, 1515, 1117, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224267811876377,,17144,,1545224267,794091392,'',255,"[1517, 1515, 1117, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224267861885557,,17145,,1545224267,838089344,'',255,"[1517, 1515, 1117, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224267924329275,,17146,,1545224267,882089344,'',255,"[1517, 1515, 1117, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224267968021841,,17147,,1545224267,931088832,'',255,"[1517, 1515, 1117, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268022940873,,17148,,1545224267,991088832,'',255,"[1517, 1515, 1117, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268099738604,,17149,,1545224268,36087552,'',255,"[1517, 1515, 1117, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268157141936,,17150,,1545224268,99087552,'',255,"[1517, 1515, 1117, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268298149163,,17151,,1545224268,147085760,'',255,"[1517, 1515, 1116, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268349563027,,17152,,1545224268,195085760,'',255,"[1517, 1515, 1115, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268349581357,,17153,,1545224268,235084736,'',255,"[1517, 1515, 1115, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268349951885,,17154,,1545224268,299084736,'',255,"[1517, 1515, 1115, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268374399512,,17155,,1545224268,345084736,'',255,"[1517, 1515, 1115, 1508, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268469589775,,17156,,1545224268,389084736,'',255,"[1517, 1515, 1115, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268493842086,,17157,,1545224268,433080896,'',255,"[1517, 1515, 1115, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268542577174,,17158,,1545224268,481080896,'',255,"[1517, 1515, 1115, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268562420059,,17159,,1545224268,549078080,'',255,"[1517, 1515, 1115, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268657271710,,17160,,1545224268,597078080,'',255,"[1517, 1515, 1115, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268814328707,,17161,,1545224268,645076544,'',255,"[1517, 1515, 1115, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268846930869,,17162,,1545224268,690076544,'',255,"[1517, 1515, 1115, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268846945661,,17163,,1545224268,734074496,'',255,"[1517, 1515, 1115, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268846958796,,17164,,1545224268,798074496,'',255,"[1517, 1515, 1115, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224268884359060,,17165,,1545224268,842072704,'',255,"[1517, 1515, 1115, 1511, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224269040709967,,17166,,1545224268,890072704,'',255,"[1517, 1515, 1116, 1513, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224269080515005,,17167,,1545224268,934069120,'',255,"[1517, 1515, 1117, 1513, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224269080537444,,17168,,1545224268,982069120,'',255,"[1517, 1515, 1117, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224269175951183,,17169,,1545224269,42069120,'',255,"[1517, 1515, 1117, 1509, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224269657817951,,17170,,1545224269,86069120,'',255,"[1517, 1515, 1117, 1516, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224269657836444,,17171,,1545224269,130066560,'',255,"[1517, 1515, 1117, 1522, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270211460618,,17172,,1545224269,199066560,'',255,"[1517, 1515, 1115, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270211495463,,17173,,1545224269,247063744,'',255,"[1517, 1515, 1115, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270211517661,,17174,,1545224269,291063744,'',255,"[1517, 1515, 1115, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
1545224270211536119,,17175,,1545224269,335060416,'',255,"[1517, 1515, 1115, 1507, 1094, 1094, 1094, 1094, 1514, 1514, 1514, 1514, 944, 944, 1514, 1514, 998, 998]"
